                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.44333,                0.33253,                0.89917,                0.69782,                0.65997,                0.70348,                0.53184,                0.95004,                 1.1513,                 1.2866,             0.00012608,             0.00012608,             0.00012608
                     90,                0.44643,                0.32036,                0.89885,                0.73365,                0.63547,                0.69978,                0.52675,                0.96133,                 1.1692,                 1.3042,             0.00011708,             0.00011708,             0.00011708
                     91,                0.38143,                0.26312,                0.85008,                0.70103,                0.63437,                0.67642,                 0.5103,                0.94917,                 1.2194,                 1.3149,             0.00010808,             0.00010808,             0.00010808
                     92,                0.37242,                0.25451,                0.84267,                 0.7014,                0.65263,                0.69081,                0.52258,                0.94223,                 1.2014,                 1.3061,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.35396,                 0.2395,                0.83972,                 0.6748,                0.68317,                0.69413,                0.52844,                0.94071,                 1.1899,                 1.3121,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.35794,                0.24263,                0.84163,                0.68145,                 0.6836,                0.70487,                0.53816,                0.93752,                 1.1658,                 1.3137,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.34403,                 0.2268,                 0.8299,                0.72065,                0.65033,                0.69281,                0.53012,                0.92548,                 1.2002,                 1.3014,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.34161,                0.22916,                0.83289,                0.69592,                0.64898,                0.69053,                0.52839,                0.93287,                  1.198,                  1.308,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.33846,                0.22461,                0.83239,                0.70947,                0.64775,                0.69056,                 0.5268,                0.93615,                 1.2318,                   1.31,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.33888,                0.21496,                0.82903,                0.71024,                0.65657,                0.69484,                0.52927,                 0.9385,                   1.21,                 1.3113,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.34532,                0.23134,                0.83325,                0.67748,                0.68263,                0.68889,                0.52635,                0.93776,                 1.2305,                 1.3073,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.33698,                 0.2159,                0.83167,                 0.7003,                0.65954,                0.68726,                0.52399,                0.94007,                 1.2431,                 1.3034,             2.7088e-05,             2.7088e-05,             2.7088e-05
